UAI;Nom;Type;Statut public/privé;Adresse;CP;Commune;Académie;Département;Région;Téléphone;Téléphone normalisé;Mail ce.;Site web;SIREN;SIRET;Latitude;Longitude;Campus rattaché;Distance campus km;Source;Date extraction;Nature source;Code nature source;Type source;État source
0750664P;Lycée Racine;Lycée;Public;20 rue du Rocher;75008;Paris;Paris;Paris;Ile-de-France;01 45 22 11 51;+33145221151;lyc.racine@gmail.com;http://lyc-racine.ac-paris.fr;197506645;19750664500013;48.8764506501621;2.322300419725228;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750653C;Lycée Sophie Germain;Lycée;Public;9 rue de Jouy;75004;Paris;Paris;Paris;Ile-de-France;01 44 54 81 54;+33144548154;ce.0750653C@ac-paris.fr;http://lyc-sophie-germain.ac-paris.fr;197506538;19750653800010;48.85485829556443;2.358196233724338;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750663N;Lycée Chaptal;Lycée;Public;45 boulevard des Batignolles;75008;Paris;Paris;Paris;Ile-de-France;01 45 22 76 95;+33145227695;ce.0750663n@ac-paris.fr;https://lycee-chaptal.ac-paris.fr;197506637;19750663700010;48.881738320109136;2.3196885071009623;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0755537L;Groupe scolaire Alliance Rachi;Lycée;Privé;6 rue Émile Borel;75017;Paris;Paris;Paris;Ile-de-France;01 70 08 75 10;+33170087510;Secretariat@alliancerachi.org;https://www.aiu.org/fr/groupe-scolaire-alliance-rachi;318111572;31811157200042;48.899405330130904;2.32249811435184;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750714U;Lycée Hélène Boucher;Lycée;Public;75 cours de Vincennes;75020;Paris;Paris;Paris;Ile-de-France;01 55 25 65 00;+33155256500;ce.0750714u@ac-paris.fr;http://lyc-helene-boucher.ac-paris.fr;197507148;19750714800017;48.84781801734053;2.406968028836891;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750778N;LP Turquetil;Lycée;Public;18 passage Turquetil;75011;Paris;Paris;Paris;Ile-de-France;01 43 70 20 13;+33143702013;ce.0750778n@ac-paris.fr;http://lyc-turquetil.ac-paris.fr;197507783;19750778300011;48.85215488666993;2.3928408606033575;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0754030Y;Lycée privé polyvalent Albert de Mun;Lycée;Privé;2 rue d'Olivet;75007;Paris;Paris;Paris;Ile-de-France;01 43 06 33 09;+33143063309;secretariat@albertdemun.net;http://www.albertdemun.eu;784308579;78430857900027;48.8497226239239;2.319715372444925;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750588G;LP René Cassin;Lycée;Public;185 avenue de Versailles;75016;Paris;Paris;Paris;Ile-de-France;01 42 88 33 66;+33142883366;ce.0750588G@ac-paris.fr;http://lyc-rene-cassin.ac-paris.fr;197505886;19750588600014;48.839902671715976;2.2638473716260283;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750676C;Lycée polyvalent Dorian;Lycée;Public;74 avenue Philippe Auguste;75011;Paris;Paris;Paris;Ile-de-France;01 44 93 81 30;+33144938130;ce.0750676c@ac-paris.fr;https://www.lycee-dorian.fr/;197506769;19750676900011;48.85440198778214;2.392412630364061;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0754016H;Lycée polyvalent l'Initiative Paris;Lycée;Privé;24 rue Bouret;75019;Paris;Paris;Paris;Ile-de-France;01 53 38 44 10;+33153384410;contact@linitiative.paris;https://www.linitiative.paris;314024605;31402460500052;48.88147660729707;2.374606140786948;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750685M;Lycée Pierre-Gilles de Gennes - École nationale de chimie, physique et biologie;Lycée;Public;11 rue Pirandello;75013;Paris;Paris;Paris;Ile-de-France;01 44 08 06 50;+33144080650;secretariat.direction@encpb.org;http://www.encpb.org/;197506850;19750685000019;48.83663946212697;2.3564273591414673;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753082T;ETS - ECOLE EUROPEENNE (Ecole secondaire professionnelle privée);Lycée;Privé;63 rue Ampère, 75017 PARIS;75017;Paris 17e  Arrondissement;Paris;Paris;Ile-de-France;0144292360;+33144292360;contact@ecole-europenne.com;;328007786;32800778600044;48.88519527848256;2.3009403935206936;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0755849A;Lycée privé ICS;Lycée;Privé;23 rue de Cronstadt, 75015 PARIS;75015;Paris 15e  Arrondissement;Paris;Paris;Ile-de-France;0156566070;+33156566070;victorhugo@eibparis.fr;;582067054;58206705400020;48.83414511959307;2.301992865900286;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750651A;Lycée polyvalent S Weil site François Truffaut;Lycée;Public;28 rue Debelleyme;75003;Paris;Paris;Paris;Ile-de-France;01 42 71 22 77;+33142712277;ce.0752701d@ac-paris.fr;http://lyc-simone-weil.ac-paris.fr;197506512;19750651200015;48.86135218900356;2.3640346171235267;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750693W;Lycée Buffon;Lycée;Public;16 boulevard Pasteur;75015;Paris;Paris;Paris;Ile-de-France;01 44 38 78 70;+33144387870;ce.0750693w@ac-paris.fr;http://www.lycee-buffon.fr;197506934;19750693400011;48.843450595841645;2.3117184295922955;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750770E;LP Abbé Grégoire site Saint-Jacques;Lycée;Public;30 rue Saint-Jacques;75005;Paris;Paris;Paris;Ile-de-France;01 43 54 18 73;+33143541873;ce.0750770E@ac-paris.fr;https://lyc-abbe-gregoire.ac-paris.fr;197507700;19750770000015;48.86624005627622;2.3599726427505554;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750647W;Lycée Turgot;Lycée;Public;69 rue de Turbigo;75003;Paris;Paris;Paris;Ile-de-France;01 53 01 14 10;+33153011410;ce.0750647w@ac-paris.fr;http://lyc-turgot.ac-paris.fr;197506470;19750647000016;48.86619264109878;2.358843148100717;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0753838P;Lycée privé Saint-Sulpice;Lycée;Privé;68 rue d'Assas;75006;Paris;Paris;Paris;Ile-de-France;01 84 74 83 82;+33184748382;secretariat@st-sulpice.fr;http://www.st-sulpice.fr/;784280919;78428091900019;48.84556798059995;2.3315946522333366;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0750671X;Lycée polyvalent Edgar Quinet;Lycée;Public;63 rue des Martyrs;75009;Paris;Paris;Paris;Ile-de-France;01 48 78 55 17;+33148785517;ce.0750671x@ac-paris.fr;http://lyc-edgar-quinet.ac-paris.fr;197506710;19750671000015;48.881251468979656;2.3398744815433177;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE POLYVALENT;306;Lycée;OUVERT
0750702F;Lycée Jean de La Fontaine;Lycée;Public;1 place de la Porte Molitor;75016;Paris;Paris;Paris;Ile-de-France;01 46 51 16 00;+33146511600;ce.0750702f@ac-paris.fr;https://lyc-jean-de-la-fontaine.ac-paris.fr;197507023;19750702300012;48.845190990860424;2.2565778962761875;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0752388N;LP Pierre Lescot;Lycée;Public;35 rue des Bourdonnais;75001;Paris;Paris;Paris;Ile-de-France;01 42 36 34 83;+33142363483;ce.0752388n@ac-paris.fr;http://lyc-pierre-lescot.ac-paris.fr;197523889;19752388900016;48.86024181705473;2.345249314396558;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0752845K;LP Théophile Gautier;Lycée;Public;6 bis place des Vosges;75004;Paris;Paris;Paris;Ile-de-France;01 48 87 72 32;+33148877232;ce.0752845K@ac-paris.fr;http://lyc-theophile-gautier.ac-paris.fr;197528458;19752845800023;48.85479962560322;2.3662556819655713;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0753852E;Lycée privé Sainte-Jeanne-Élisabeth;Lycée;Privé;8 rue Maurice de la Sizeranne;75007;Paris;Paris;Paris;Ile-de-France;01 53 58 59 00;+33153585900;sje-enseignants@wanadoo.fr;http://www.sainte-jeanne-elisabeth.com;334822772;33482277200037;48.84737880361758;2.3146576650777937;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0754965P;Lycée privé Lucien de Hirsch;Lycée;Privé;68-70 avenue Secrétan;75019;Paris;Paris;Paris;Ile-de-France;01 42 08 84 14;+33142088414;ldhlycee@hotmail.fr;https://www.luciendehirsch.fr;784778607;78477860700027;48.87973125043814;2.3763765131614325;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;300;Lycée;OUVERT
0752846L;LP Erik Satie;Lycée;Public;2 rue Pierre Castagnou;75014;Paris;Paris;Paris;Ile-de-France;01 56 53 52 32;+33156535232;ce.0752846l@ac-paris.fr;http://lyc-erik-satie.ac-paris.fr;197528466;19752846600018;48.83332308596032;2.326302358789236;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
0750785W;LP Galilée;Lycée;Public;28 rue de Patay;75013;Paris;Paris;Paris;Ile-de-France;01 45 82 65 50;+33145826550;ce.0750785w@ac-paris.fr;http://lyc-galilee.ac-paris.fr;197507858;19750785800029;48.825315026327196;2.375166781718904;Paris;;https://data.education.gouv.fr/explore/dataset/fr-en-annuaire-education/;2026-08-14;LYCEE PROFESSIONNEL;320;Lycée;OUVERT
